ID;PART;Population;POP2;Year;Latitude;Longitude;B1;B2;B3;S1U;S1V;S1B;S1G;S1Y;S1R;S2;S3;S4;S5;S6;S7;S8;S9;S10;H1;H2;H3;H4;H5
63;Belly;0;WEST;1945;32,3219;-90,859;9240,152616;23,0427746;52,3215942;0,12946504;0,151125713;0,125739756;0,223831952;0,28179619;0,528622991;10,59240958;0,363822672;0,179283271;4116,820428;47,38205766;-0,286320488;2,056265292;0,806228915;0,368653969;686;416;577;0,181621896;578
64;Belly;0;WEST;1943;32,308;-90,879;7910,201766;19,72618894;50,89697917;0,115246313;0,131687576;0,102230324;0,205517495;0,277623829;0,584285576;12,72169365;0,334890887;0,131331244;4124,370747;46,89617703;-0,340001214;2,377356172;0,856160506;0,312221144;698;416;585;0,14299217;583
65;Belly;0;WEST;1944;32,3046;-90,872;8966,532694;22,36043066;49,56825;0,125435879;0,146006248;0,120339993;0,245491413;0,296443803;0,516342506;12,02322177;0,29017042;0,182651114;3985,349016;45,44554055;-0,311377726;2,032409002;0,81480166;0,371221769;698;416;571;0,241362264;574
66;Belly;0;WEST;1944;30,4434;-91,348;9648,917464;24,06213832;57,76158333;0,120735674;0,139373287;0,113287712;0,221364571;0,283548939;0,552068699;13,38741923;0,313114643;0,179489322;4645,625538;53,44696658;-0,319462397;2,221206024;0,831617165;0,398682764;698;417;579;0,179344847;583
67;Belly;0;WEST;1950;31,1173;-97,679;11049,73271;27,55544317;60,55524403;0,144037727;0,166829939;0,127039721;0,225398848;0,278484151;0,511107157;10,67094655;0,30885932;0,227235299;4684,425493;54,88046685;-0,25231846;1,991637968;0,801513162;0,452570449;694;416;576;0,161239236;581
68;Belly;0;WEST;1950;31,1146;-97,67;12539,84727;31,27143958;65,98817238;0,139833575;0,162414975;0,135578763;0,232828846;0,282599101;0,499474481;11,02511658;0,267895694;0,269499613;5111,033513;60,00291391;-0,252205121;1,918776836;0,768322687;0,517109615;700;416;573;0,198668758;577
69;Belly;0;WEST;1950;31,1081;-97,768;8860,501695;22,0960142;52,32182762;0,14906069;0,170107276;0,093577348;0,213254682;0,286368013;0,551632867;11,56311233;0,298861555;0,281220657;4365,029713;47,79693622;-0,332875728;2,163147425;0,884296622;0,608321741;700;448;578;0,092396601;577
70;Belly;0;WEST;1950;31,1065;-97,756;11911,17935;29,70368916;63,55255452;0,126340863;0,14718373;0,140579831;0,23939836;0,28289345;0,501287533;11,71146645;0,270409145;0,219658697;4885,856332;58,12603045;-0,252573805;1,956862332;0,757125339;0,42984183;700;416;573;0,25193226;576
71;Belly;0;WEST;1950;31,1081;-97,762;11238,62907;28,02650642;64,26862928;0,127510076;0,14673986;0,116017999;0,229483356;0,288438636;0,534506156;12,88353482;0,289401289;0,22274203;5190,586355;59,28019791;-0,308623117;2,115147605;0,822783596;0,471132272;700;416;576;0,18998731;575
72;Belly;0;WEST;1950;31,1429;-97,812;10689,33606;26,6566984;55,30666667;0,135060643;0,158048195;0,156877438;0,233941723;0,273484322;0,481798044;11,72260529;0,260258443;0,208748762;3982,789065;50,58871658;-0,207367372;1,897786283;0,715897021;0,396160537;700;416;573;0,243155186;576
